reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
01490be0-d020-4ced-a353-fcd53414a202,Debasis Das Chowdhury,https://play-lh.googleusercontent.com/a/ACg8ocJ3iKTuzMGuQfOaNAnmp8YTTtTAu8Vco2ubxjfDqWYCUQRO0g=mo,allow what ape,5,0,2.24.20.89,2024-11-03 22:01:16,,,2.24.20.89
ce9985fc-4b05-40e3-864c-98c17c2db21c,Sirgaga Handino,https://play-lh.googleusercontent.com/a/ACg8ocJ_G5BS9eO3xjccjcPot-QtRCuoCwdG3WPx6ysODQU3uGpcCA=mo,month,5,0,2.24.17.79,2024-11-03 22:00:59,,,2.24.17.79
15ef595d-41a2-481c-b020-20618d8d8539,Ifiok Samuel obot,https://play-lh.googleusercontent.com/a/ACg8ocL6pp3CjZ9-gahMioSnEsMayWDWKycPX0plqn0Qy26sHrbjQQ=mo,thank god anoth job far good time think love abil happi,3,0,2.24.14.81,2024-11-03 21:58:52,,,2.24.14.81
4cc3c6d6-cca9-424e-a093-f255e2e547da,Jamal Shah,https://play-lh.googleusercontent.com/a/ACg8ocIq8gJFbMKChmFpxTV_j5eiwS9sIxkTv9fD3UN-96vrW30Wfw=mo,whatsapp open,5,0,,2024-11-03 21:58:16,,,
32fe9d20-0356-4577-9ed9-21e843a7b33b,Dabuo Alexander,https://play-lh.googleusercontent.com/a/ACg8ocKZ3OAJoMT35Sz3pg23EwfCLKNvgyWfxAua8URoI8YHJ7byuA=mo,work fast,5,0,2.19.308,2024-11-03 21:58:15,,,2.19.308
f8989467-da9a-4afa-baa6-0f39782441e6,okonkwo Chisimdi,https://play-lh.googleusercontent.com/a/ACg8ocJsE3vnm6Lc6gTr-pWSMOojyni6LgKyR0rKiI0G5j35pGgtyA=mo,it cool love,5,0,2.24.16.76,2024-11-03 21:58:01,,,2.24.16.76
6e5ffbff-36d0-4a7f-9105-bfceea08da64,Ntirandekura Tresor,https://play-lh.googleusercontent.com/a/ACg8ocKrdAai4HPh_1mJTdfF8JJuGbILRXopGsc1WQkhGB0CQ6U6MQ=mo,it cool,5,0,,2024-11-03 21:57:06,,,
bd8f00d7-54c5-418a-90af-2414eda7df64,Rohan Pandey,https://play-lh.googleusercontent.com/a-/ALV-UjUnd2sYvzZWEV55BALoVsokndczR6RhlLEVexVANSlNWH90Z263,after recent updat file save phone ism abl open,1,0,2.24.21.79,2024-11-03 21:56:37,,,2.24.21.79
4ff38e69-8840-4dca-b4a2-4790e37a84da,Jecinta Da'am,https://play-lh.googleusercontent.com/a-/ALV-UjXboam_JxluHPlZ3mQVo0uIM-WtKMM4YwWz5Y_lE7bme6QYzdg,whi what ape alway close three day,5,0,2.24.21.79,2024-11-03 21:56:07,,,2.24.21.79
db529e5b-bdf5-4ce6-a459-9cdc7fb2d0b6,Musa Yusif,https://play-lh.googleusercontent.com/a/ACg8ocIPFVT5KE9zlxKa8IXqfq9s-6QLH0uoOlazP9ezD9O-K9R1Cw=mo,pleas open whatsapp number,5,0,2.24.20.89,2024-11-03 21:55:11,,,2.24.20.89
9e057056-b6c5-40b4-8e8b-83b7f35f7aad,Fatima,https://play-lh.googleusercontent.com/a/ACg8ocIvy6VUdoeT6XpwqTV9I9ukW8YwenDdpbysSUfAaOyitO9DPA=mo,whatsapp fantast ape use mani year known strong privaci featur alway felt,5,0,2.24.15.78,2024-11-03 21:55:01,,,2.24.15.78
4cdf1a4e-835c-4705-a1b0-e8aad627e310,Binkee Kumari,https://play-lh.googleusercontent.com/a-/ALV-UjXsj_1xJoA4m_tDu2aCNEtG2pL_MBzIX6k2AD8AKq19b9Ofzx8j,whi whatsapp block number unusu way say account longer due spam unblock number minut automat block strongli get bad experi whatsapp pleas fix issu,5,0,2.24.21.79,2024-11-03 21:54:59,,,2.24.21.79
e0763e43-4f9a-4adb-8644-5f3e245b9e63,Sifat E Manzoor,https://play-lh.googleusercontent.com/a-/ALV-UjUjn6nf5BREG4vwe5CZd5tw3IGjWssV149KrLl9doxogzuoH0Vu2A,whi dont lookout option pleas add,4,0,2.24.21.79,2024-11-03 21:54:45,,,2.24.21.79
96424c5a-a0f6-4ddb-a0cc-edc3ac65f1bd,Daniel Godwin,https://play-lh.googleusercontent.com/a-/ALV-UjUMT6VTwn7pkC_wbgyUwTyX2UMjuWsfKBasp291JV1qZPRujsaC,great ape,4,0,,2024-11-03 21:54:03,,,
62b17114-7e6b-4045-8f12-ff3aa7c5e471,nathanaild Kabogoza,https://play-lh.googleusercontent.com/a-/ALV-UjV18Ek9gZkAjeUl3dlZdBKsMLholkS_dn8SOh3fOy8R464EePs,good ape,4,0,2.24.21.79,2024-11-03 21:53:51,,,2.24.21.79
1ee0f4c5-a0c6-47d6-8d6d-c5a054ccbb7b,Muhammad Ramadhan,https://play-lh.googleusercontent.com/a-/ALV-UjUsyjnW9TvUylRBmJs0vKGX_9SLfbx8vTgj6AJgAvfD8W_j8RjQ,pleas make schedul messag featur,1,0,2.24.21.79,2024-11-03 21:53:06,,,2.24.21.79
b155d07b-ac63-4cf1-b0ad-c0e8ef224d23,Nadeem Rahmani,https://play-lh.googleusercontent.com/a/ACg8ocIqgA4TD2XotHR6MKGfsdibc2xWdxpnzRmqGQpo9bTch00a8w=mo,hurt boss,5,0,2.24.15.78,2024-11-03 21:53:03,,,2.24.15.78
65d144ce-4b54-47ce-a7dd-b7e9975e564f,Namutebi Sylivia,https://play-lh.googleusercontent.com/a/ACg8ocKm1crETj1oclnnuRf5QRhjBwNlmF9Lkx-83H3s-SdIjCMtLg=mo,ban account everi time pleas kindli fix problem,1,0,2.24.21.79,2024-11-03 21:51:10,,,2.24.21.79
10feadf9-b62e-46d2-9477-5ccb24c84695,Ahsan Raza,https://play-lh.googleusercontent.com/a/ACg8ocJ8eayL3epWDfG2qLnfNQazIAqHlG75vHmy9g-_RD4vQX9jMQ=mo,what ape offici,5,0,2.24.21.79,2024-11-03 21:50:15,,,2.24.21.79
7176c21e-cc7e-416b-a478-f2f611c74d1b,MALLAM KURU MODU MUSTAPHA,https://play-lh.googleusercontent.com/a-/ALV-UjVIeY2EECulaQHWGZ84JvynoIINjmQDKstAQrKM6-wYZS3C-tw-,know commun,5,0,2.24.21.79,2024-11-03 21:49:36,,,2.24.21.79
518db58c-8456-4ce9-909f-244c3b1ba1da,Peter komolafe,https://play-lh.googleusercontent.com/a/ACg8ocKrOyPg13aaJy3ujqcvYV1UlTawE6PlQA1UvEUveXJfhWco8A=mo,open whatsapp,5,0,2.18.277,2024-11-03 21:49:10,,,2.18.277
c9db4ed4-61d4-4aa3-8565-8b820efc611d,Suprojit Saha,https://play-lh.googleusercontent.com/a-/ALV-UjX2hvErhOnY1OoDyinvA5P75NcaL8FvJkZr2EkV3M1e00KUTek,best chat ape ever,5,0,2.24.15.78,2024-11-03 21:46:53,,,2.24.15.78
e1bd03cf-2b15-4363-899b-9cb435e8e013,Lydia Wanjira,https://play-lh.googleusercontent.com/a/ACg8ocKqGm64_XV1uwRqes9-fY4d1a__G7X6TphnS-OLI7hpDMIzDA=mo,the ape realli aquat legibl,2,0,2.24.15.78,2024-11-03 21:45:30,,,2.24.15.78
726c1823-719e-48f4-9e01-7927e2397742,Arsh Khan,https://play-lh.googleusercontent.com/a/ACg8ocJ0RzaLcZLXmt-v6X376JYSVjfwKcxDmxQHahMjgx6-YDBTUg=mo,thi best chase ape,5,0,2.24.21.79,2024-11-03 21:45:17,,,2.24.21.79
0fe9b1d0-bd00-4182-8b09-1ffc38559df8,Owen Mukose,https://play-lh.googleusercontent.com/a/ACg8ocKmuUDHCko58zg766QszU0seyJ91sUAYbgdXu3VKyF3mNiZpw=mo,it incred,5,0,2.24.3.81,2024-11-03 21:44:17,,,2.24.3.81
b01075a5-0fd2-4690-bc22-940818d848f3,PRO GAMER,https://play-lh.googleusercontent.com/a-/ALV-UjU1JKNNzFU_3ut8wn3379k1Y48bkI4sbf2oWDX5WCcDctae1f4,great commun,5,0,,2024-11-03 21:44:14,,,
a76dc473-4d27-4939-ac98-b83f66c3b6e5,Ahmed Raza,https://play-lh.googleusercontent.com/a/ACg8ocJn_qoE8TvLYurnX_MJK-1D_oAW77CkJbXI_tA7fE9KSMy2AA=mo,good ape,5,0,2.24.21.79,2024-11-03 21:43:04,,,2.24.21.79
d516c305-d815-4afd-a3c0-8df7dca8e836,Shalom Mfula,https://play-lh.googleusercontent.com/a/ACg8ocJoe6NzyxkYMz66yE0GSHKD9LnYeG_yg0maeTgEFkAqJqKzkA=mo,love commun like video call,5,0,,2024-11-03 21:41:17,,,
7cc1a032-94bd-4961-9630-093beee520cf,Surendra Matasaran Yadav,https://play-lh.googleusercontent.com/a/ACg8ocKnyFTpVrWfDxMYcACafOphgDXSnwVKHM5jz8uI7T7kBAdDKg=mo,veri nice,5,0,2.24.21.79,2024-11-03 21:40:40,,,2.24.21.79
9a3736a5-9db6-4900-967e-20ed366ae8ab,Arnold Lukwago,https://play-lh.googleusercontent.com/a-/ALV-UjXpU5l3k4cb85epk6cw4QthAPcAm-uQs2qg8Gu6J4T0RWHvKGNa,need updat switch,2,0,2.24.21.79,2024-11-03 21:40:14,,,2.24.21.79
5bce82e6-5fb0-4cc9-ba0c-c69a2c888828,gi na,https://play-lh.googleusercontent.com/a-/ALV-UjU1P5_WoUEMRO7tNnHUiPepYPjmaa2wTYQRpi8l8OVCjzfrG9A,video pictur qualiti alway reduc send someon statu,2,0,,2024-11-03 21:38:38,,,
7b3d94de-a7fa-4f14-82db-1dabd4f6dedd,Shweta Bhalerao,https://play-lh.googleusercontent.com/a-/ALV-UjVlQYoH-1WQB0pRUmffSxtt7UNLemuJrKlJWns8zRDwEHFa8bIS,there option edit caption statu post that would conveni and option abl add music photo statu,5,0,2.24.21.79,2024-11-03 21:37:54,,,2.24.21.79
b8cd7454-2acd-4c49-a609-b440ab16de3c,Victor Mallo Jang,https://play-lh.googleusercontent.com/a/ACg8ocJdjkpWR8osfZQnCu-icX61eZlh6kIX44C4rjNn_QFZN_7qkg=mo,cannot instal whatsapp,5,0,2.24.21.79,2024-11-03 21:37:38,,,2.24.21.79
